distribution_center_id,distribution_center_name,warehouse_type,region,city,country,manager_id,product_id,storage_type,inventory_units,storage_capacity_units,occupied_capacity_units,utilization_pct,inbound_shipments,outbound_shipments,orders_processed,avg_processing_time_hours,dock_doors,employees,operating_shift,status,record_date,on_time_dispatch_pct,damaged_units,stockout_flag,last_inventory_audit_date
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0034,P00228,Ambient,11631,34530,33838,98.0,24,4,495,14.81,38,426,Morning,Maintenance,2025-04-22,98.05,22,No,2025-03-27
DC0012,Distribution Center 12,Regional DC,South,Hyderabad,India,MGR0059,P00006,Ambient,3066,25223,20358,80.71,11,97,288,4.83,19,342,Evening,Active,2025-04-22,97.06,39,No,2025-04-11
DC0015,Distribution Center 15,Fulfillment Center,Central,Indore,India,MGR0050,P00160,Ambient,7353,74924,32848,43.84,1,9,369,12.12,15,204,Morning,Maintenance,2025-04-22,80.11,40,No,2025-04-19
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0024,P00032,Ambient,23687,124490,71902,57.76,79,26,463,12.41,35,430,Morning,Active,2025-04-22,88.32,8,No,2025-04-18
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0023,P00201,Cold,6153,42202,32780,77.67,73,90,337,18.66,9,235,Evening,Active,2025-04-22,92.72,32,No,2025-04-14
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0099,P00211,Cold,21654,80834,43390,53.68,14,14,155,2.09,5,294,Morning,Active,2025-04-22,86.05,23,No,2025-04-14
DC0026,Distribution Center 26,Regional DC,North,Chandigarh,India,MGR0068,P00250,Frozen,15164,56076,43119,76.89,60,57,10,21.06,33,66,Evening,Maintenance,2025-04-22,77.66,39,No,2025-04-14
DC0029,Distribution Center 29,Fulfillment Center,West,Pune,India,MGR0096,P00145,Ambient,14229,57740,56245,97.41,52,34,214,9.43,32,419,Evening,Active,2025-04-22,98.25,11,No,2025-04-04
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0009,P00234,Ambient,21882,57807,51248,88.65,36,80,227,16.68,18,146,Morning,Maintenance,2025-04-22,86.34,16,No,2025-04-02
DC0001,Distribution Center 01,Regional DC,North,Delhi,India,MGR0100,P00090,Ambient,14579,119244,40513,33.97,1,49,276,14.01,18,20,Night,Active,2025-04-23,77.34,30,No,2025-04-22
DC0001,Distribution Center 01,Cross-Dock Center,North,Delhi,India,MGR0056,P00160,Ambient,21137,58990,15632,26.5,48,46,353,6.54,31,71,Evening,Temporarily Closed,2025-04-23,72.9,15,No,2025-03-24
DC0002,Distribution Center 02,Fulfillment Center,South,Chennai,India,MGR0048,P00005,Ambient,17276,90877,66399,73.06,60,4,308,16.13,34,247,Morning,Active,2025-04-23,74.3,28,No,2025-04-12
DC0005,Distribution Center 05,Cross-Dock Center,Central,Bhopal,India,MGR0049,P00003,Cold,21047,51261,20731,40.44,73,40,437,5.86,9,277,Morning,Active,2025-04-23,80.01,18,No,2025-03-31
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0041,P00200,Ambient,11955,112319,93758,83.47,10,1,29,11.2,34,113,Evening,Active,2025-04-23,85.06,45,No,2025-04-20
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0083,P00042,Frozen,19187,99416,53051,53.36,47,37,368,3.16,14,308,Evening,Maintenance,2025-04-23,95.2,18,No,2025-04-05
DC0010,Distribution Center 10,Regional DC,Central,Nagpur,India,MGR0020,P00092,Ambient,10657,130534,93009,71.25,3,12,126,8.04,18,69,Morning,Active,2025-04-23,91.74,7,No,2025-04-11
DC0022,Distribution Center 22,Cold Storage DC,South,Chennai,India,MGR0058,P00086,Ambient,9674,94858,61762,65.11,26,38,234,11.17,45,420,Morning,Maintenance,2025-04-23,98.67,5,No,2025-04-09
DC0006,Distribution Center 06,Cross-Dock Center,North,Chandigarh,India,MGR0082,P00073,Ambient,4214,118586,89039,75.08,50,54,230,17.46,20,464,Night,Temporarily Closed,2025-04-24,98.6,22,No,2025-04-21
DC0010,Distribution Center 10,Regional DC,Central,Nagpur,India,MGR0052,P00065,Ambient,2949,56464,38795,68.71,64,48,125,3.52,43,46,Evening,Active,2025-04-24,93.14,4,No,2025-03-30
DC0010,Distribution Center 10,Fulfillment Center,Central,Nagpur,India,MGR0091,P00189,Ambient,21208,111418,42842,38.45,69,65,18,17.72,12,206,Morning,Active,2025-04-24,78.86,8,No,2025-03-28
DC0010,Distribution Center 10,Cold Storage DC,Central,Nagpur,India,MGR0020,P00234,Ambient,18678,96983,86367,89.05,15,17,160,15.34,28,117,Night,Temporarily Closed,2025-04-24,88.41,40,No,2025-04-16
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0020,P00051,Ambient,1038,126814,65035,51.28,17,86,333,3.83,32,192,Night,Active,2025-04-24,97.29,30,No,2025-03-28
DC0015,Distribution Center 15,Cold Storage DC,Central,Indore,India,MGR0032,P00225,Ambient,175,140748,80898,57.48,52,7,132,18.7,37,100,Morning,Maintenance,2025-04-24,81.25,39,Yes,2025-04-18
DC0026,Distribution Center 26,Regional DC,North,Chandigarh,India,MGR0003,P00149,Ambient,370,134371,71830,53.46,64,92,299,19.01,34,65,Evening,Active,2025-04-24,82.81,38,Yes,2025-03-25
DC0027,Distribution Center 27,Fulfillment Center,South,Bengaluru,India,MGR0029,P00035,Ambient,13310,148815,42810,28.77,30,23,124,13.56,20,161,Evening,Active,2025-04-24,85.21,21,No,2025-04-08
DC0028,Distribution Center 28,Fulfillment Center,East,Bhubaneswar,India,MGR0070,P00080,Ambient,21069,116306,92542,79.57,51,32,140,16.16,12,181,Night,Temporarily Closed,2025-04-24,97.33,21,No,2025-03-31
DC0007,Distribution Center 07,Cold Storage DC,South,Bengaluru,India,MGR0018,P00146,Frozen,12027,54189,39527,72.94,44,12,105,16.84,39,336,Morning,Active,2025-04-25,73.11,43,No,2025-04-07
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0076,P00012,Ambient,17201,128475,115117,89.6,49,74,245,18.21,27,371,Night,Active,2025-04-25,87.23,4,No,2025-04-18
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0078,P00099,Hazardous,503,138497,51740,37.36,12,32,19,20.84,14,297,Morning,Active,2025-04-25,76.16,48,No,2025-04-11
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0006,P00128,Ambient,10542,67676,25858,38.21,54,4,489,3.91,22,139,Morning,Temporarily Closed,2025-04-25,88.72,0,No,2025-03-27
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0080,P00191,Hazardous,18925,71566,54630,76.34,9,86,34,5.21,35,400,Morning,Active,2025-04-25,95.67,26,No,2025-03-29
DC0012,Distribution Center 12,Regional DC,South,Hyderabad,India,MGR0024,P00045,Ambient,20945,124757,53661,43.01,60,76,247,11.26,34,465,Morning,Temporarily Closed,2025-04-25,83.24,26,No,2025-04-09
DC0013,Distribution Center 13,Fulfillment Center,East,Guwahati,India,MGR0032,P00009,Ambient,13247,124047,90371,72.85,32,62,480,6.38,20,238,Morning,Temporarily Closed,2025-04-25,76.71,32,No,2025-04-05
DC0015,Distribution Center 15,Cross-Dock Center,Central,Indore,India,MGR0051,P00208,Hazardous,3527,43636,28919,66.27,27,98,125,11.72,14,23,Evening,Temporarily Closed,2025-04-25,80.24,47,No,2025-04-07
DC0018,Distribution Center 18,Regional DC,East,Patna,India,MGR0089,P00055,Ambient,23156,139098,50742,36.48,21,26,83,19.52,20,463,Morning,Active,2025-04-25,94.86,8,No,2025-04-19
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0100,P00012,Ambient,9489,85919,21947,25.54,40,85,27,8.35,33,382,Evening,Temporarily Closed,2025-04-25,72.24,21,No,2025-04-03
DC0023,Distribution Center 23,Fulfillment Center,East,Kolkata,India,MGR0071,P00234,Ambient,8130,98285,66440,67.6,2,88,306,12.74,32,261,Evening,Maintenance,2025-04-25,83.37,0,No,2025-04-21
DC0025,Distribution Center 25,Fulfillment Center,Central,Bhopal,India,MGR0052,P00037,Cold,18218,118589,94466,79.66,75,9,453,16.94,43,236,Evening,Temporarily Closed,2025-04-25,94.71,27,No,2025-04-25
DC0025,Distribution Center 25,Regional DC,Central,Bhopal,India,MGR0061,P00114,Hazardous,6721,22587,20118,89.07,41,10,437,11.45,42,249,Evening,Active,2025-04-25,85.17,6,No,2025-04-02
DC0029,Distribution Center 29,Cross-Dock Center,West,Pune,India,MGR0072,P00043,Ambient,10418,55704,18029,32.37,45,41,64,12.17,31,157,Evening,Active,2025-04-25,76.36,1,No,2025-04-23
DC0003,Distribution Center 03,Fulfillment Center,East,Kolkata,India,MGR0062,P00115,Frozen,1215,145771,62389,42.8,28,14,419,23.52,36,44,Morning,Active,2025-04-26,76.8,10,No,2025-04-20
DC0005,Distribution Center 05,Cold Storage DC,Central,Bhopal,India,MGR0056,P00178,Ambient,24155,125545,43697,34.81,8,7,59,5.26,39,490,Night,Active,2025-04-26,94.69,39,No,2025-04-17
DC0005,Distribution Center 05,Fulfillment Center,Central,Bhopal,India,MGR0045,P00222,Cold,3530,57287,37524,65.5,46,85,480,12.8,8,252,Morning,Active,2025-04-26,76.64,19,No,2025-04-14
DC0006,Distribution Center 06,Cross-Dock Center,North,Chandigarh,India,MGR0008,P00018,Cold,16735,140007,101764,72.68,19,35,145,14.2,49,392,Night,Maintenance,2025-04-26,95.81,33,No,2025-04-26
DC0013,Distribution Center 13,Regional DC,East,Guwahati,India,MGR0057,P00239,Ambient,18928,59880,33417,55.81,22,44,230,12.5,5,466,Night,Active,2025-04-26,72.53,43,No,2025-04-25
DC0017,Distribution Center 17,Cold Storage DC,South,Kochi,India,MGR0039,P00006,Cold,14561,74171,42041,56.68,38,97,299,15.83,48,247,Morning,Maintenance,2025-04-26,75.79,6,No,2025-04-01
DC0026,Distribution Center 26,Regional DC,North,Chandigarh,India,MGR0085,P00184,Ambient,9447,117631,106339,90.4,44,95,88,3.01,40,419,Evening,Maintenance,2025-04-26,93.37,24,No,2025-04-20
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0044,P00100,Ambient,4247,149670,108374,72.41,10,90,352,13.09,49,162,Evening,Temporarily Closed,2025-04-27,77.53,45,No,2025-04-02
DC0013,Distribution Center 13,Cold Storage DC,East,Guwahati,India,MGR0036,P00220,Cold,4617,75406,71097,94.29,56,64,123,16.2,19,410,Evening,Maintenance,2025-04-27,75.82,35,No,2025-04-07
DC0015,Distribution Center 15,Cross-Dock Center,Central,Indore,India,MGR0069,P00229,Ambient,2020,73936,34607,46.81,36,22,376,2.79,39,98,Morning,Temporarily Closed,2025-04-27,89.33,18,No,2025-04-06
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0012,P00146,Ambient,7357,31525,25191,79.91,56,58,425,15.15,38,101,Night,Active,2025-04-27,96.97,30,No,2025-04-06
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0008,P00194,Cold,13135,42726,36455,85.32,52,42,290,22.68,43,151,Evening,Temporarily Closed,2025-04-27,96.74,39,No,2025-04-11
DC0029,Distribution Center 29,Cross-Dock Center,West,Pune,India,MGR0098,P00040,Ambient,20776,101496,64481,63.53,78,28,43,21.2,5,253,Evening,Temporarily Closed,2025-04-27,83.08,28,No,2025-04-09
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0033,P00144,Ambient,19586,118996,29958,25.18,44,4,22,14.18,34,73,Night,Active,2025-04-28,94.66,21,No,2025-04-18
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0083,P00082,Ambient,15915,116914,33223,28.42,14,97,155,15.23,31,225,Evening,Active,2025-04-28,75.55,20,No,2025-04-22
DC0013,Distribution Center 13,Regional DC,East,Guwahati,India,MGR0053,P00026,Cold,20054,51327,44308,86.32,73,53,217,21.73,32,303,Evening,Active,2025-04-28,77.14,13,No,2025-03-30
DC0014,Distribution Center 14,Regional DC,West,Ahmedabad,India,MGR0078,P00101,Hazardous,12002,80555,55441,68.82,61,15,19,19.17,21,52,Morning,Active,2025-04-28,78.56,39,No,2025-04-07
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0032,P00115,Hazardous,9743,132979,58337,43.87,49,84,136,22.91,49,493,Night,Active,2025-04-28,76.19,46,No,2025-04-18
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0044,P00024,Cold,2503,113900,69146,60.71,55,11,125,15.77,30,40,Morning,Active,2025-04-28,99.55,44,No,2025-04-14
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0012,P00131,Ambient,21082,92789,63323,68.24,47,9,79,22.81,43,120,Morning,Maintenance,2025-04-28,92.36,24,No,2025-04-07
DC0027,Distribution Center 27,Regional DC,South,Bengaluru,India,MGR0055,P00138,Ambient,12350,134224,81566,60.77,9,94,414,16.9,13,248,Morning,Active,2025-04-28,93.92,5,No,2025-04-24
DC0002,Distribution Center 02,Fulfillment Center,South,Chennai,India,MGR0057,P00100,Ambient,16371,52340,46580,89.0,79,6,361,6.33,36,360,Night,Active,2025-04-29,76.77,25,No,2025-04-26
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0055,P00010,Ambient,6360,149976,75119,50.09,6,16,111,7.2,10,84,Evening,Temporarily Closed,2025-04-29,86.89,27,No,2025-04-04
DC0009,Distribution Center 09,Regional DC,West,Pune,India,MGR0081,P00096,Ambient,13165,137675,99375,72.18,79,15,8,13.86,23,243,Night,Temporarily Closed,2025-04-29,73.82,10,No,2025-04-23
DC0015,Distribution Center 15,Cold Storage DC,Central,Indore,India,MGR0081,P00053,Ambient,6481,45607,20955,45.95,1,69,272,10.03,48,116,Evening,Temporarily Closed,2025-04-29,74.7,17,No,2025-04-09
DC0020,Distribution Center 20,Fulfillment Center,Central,Raipur,India,MGR0070,P00040,Ambient,16762,87325,62463,71.53,21,97,350,9.01,29,311,Night,Maintenance,2025-04-29,91.34,5,No,2025-04-02
DC0020,Distribution Center 20,Cross-Dock Center,Central,Raipur,India,MGR0064,P00046,Ambient,13131,125332,64064,51.12,74,70,449,7.78,20,68,Evening,Temporarily Closed,2025-04-29,83.18,9,No,2025-04-28
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0021,P00195,Ambient,7304,114848,69897,60.86,68,26,190,2.73,25,384,Morning,Temporarily Closed,2025-04-30,81.25,45,No,2025-04-02
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0055,P00128,Ambient,17102,108847,43478,39.94,2,81,272,4.02,48,164,Evening,Active,2025-04-30,91.23,0,No,2025-04-09
DC0008,Distribution Center 08,Cold Storage DC,East,Bhubaneswar,India,MGR0023,P00128,Ambient,19422,61527,49299,80.13,5,90,387,21.09,37,198,Evening,Active,2025-04-30,97.6,0,No,2025-04-04
DC0010,Distribution Center 10,Fulfillment Center,Central,Nagpur,India,MGR0014,P00093,Cold,17472,100227,36821,36.74,33,12,4,6.11,44,102,Evening,Active,2025-04-30,74.42,9,No,2025-04-15
DC0013,Distribution Center 13,Cross-Dock Center,East,Guwahati,India,MGR0029,P00205,Ambient,23028,58734,20740,35.31,49,59,492,6.13,7,59,Evening,Active,2025-04-30,89.04,32,No,2025-04-22
DC0024,Distribution Center 24,Cross-Dock Center,West,Mumbai,India,MGR0095,P00119,Cold,22702,104397,73647,70.55,44,88,302,16.32,7,313,Morning,Active,2025-04-30,85.03,20,No,2025-04-13
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0085,P00243,Cold,1115,40766,21040,51.61,25,79,355,15.88,23,295,Night,Maintenance,2025-04-30,89.15,18,No,2025-04-12
DC0026,Distribution Center 26,Cold Storage DC,North,Chandigarh,India,MGR0055,P00137,Ambient,8971,49253,30893,62.72,63,73,188,23.3,31,233,Evening,Active,2025-04-30,88.5,4,No,2025-04-01
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0015,P00056,Ambient,2705,149325,114007,76.35,33,48,294,20.15,40,176,Night,Temporarily Closed,2025-04-30,89.87,29,No,2025-04-10
DC0003,Distribution Center 03,Regional DC,East,Kolkata,India,MGR0012,P00243,Frozen,15580,120775,52297,43.3,69,46,467,13.68,10,182,Evening,Maintenance,2025-05-01,86.2,44,No,2025-04-17
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0022,P00150,Cold,23732,77070,58403,75.78,79,56,144,21.62,34,398,Evening,Maintenance,2025-05-01,83.14,33,No,2025-04-24
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0063,P00053,Frozen,15309,70838,21319,30.1,36,63,472,17.85,5,94,Evening,Temporarily Closed,2025-05-01,83.63,5,No,2025-04-11
DC0019,Distribution Center 19,Cold Storage DC,West,Surat,India,MGR0088,P00139,Ambient,21040,46815,41108,87.81,51,57,264,12.02,4,121,Night,Active,2025-05-01,79.51,7,No,2025-04-08
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0051,P00115,Cold,20799,53766,39752,73.94,27,96,365,1.54,8,201,Morning,Maintenance,2025-05-01,82.55,13,No,2025-04-02
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0067,P00200,Frozen,16890,107346,96765,90.14,15,22,492,11.67,17,371,Evening,Active,2025-05-01,75.5,15,No,2025-04-15
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0079,P00229,Hazardous,12701,119771,112320,93.78,5,58,285,5.85,35,320,Morning,Active,2025-05-01,94.52,39,No,2025-04-01
DC0006,Distribution Center 06,Cross-Dock Center,North,Chandigarh,India,MGR0075,P00202,Frozen,19628,33432,31122,93.09,34,55,113,20.3,7,203,Evening,Active,2025-05-02,77.79,35,No,2025-04-07
DC0011,Distribution Center 11,Fulfillment Center,North,Jaipur,India,MGR0090,P00135,Hazardous,642,60902,33599,55.17,5,8,444,12.82,34,94,Evening,Active,2025-05-02,86.56,29,No,2025-04-04
DC0012,Distribution Center 12,Regional DC,South,Hyderabad,India,MGR0042,P00125,Ambient,20851,97368,30500,31.32,48,31,24,19.19,27,102,Night,Maintenance,2025-05-02,76.6,35,No,2025-04-09
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0077,P00055,Ambient,6239,69031,41999,60.84,9,31,474,22.2,24,28,Evening,Temporarily Closed,2025-05-02,87.74,6,No,2025-04-05
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0096,P00119,Ambient,3111,79140,43683,55.2,28,9,145,20.34,30,45,Night,Maintenance,2025-05-02,90.11,33,No,2025-04-19
DC0026,Distribution Center 26,Fulfillment Center,North,Chandigarh,India,MGR0004,P00160,Hazardous,8512,56866,21510,37.83,63,30,16,22.76,39,81,Night,Temporarily Closed,2025-05-02,76.23,46,No,2025-04-22
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0039,P00099,Hazardous,22195,57075,17160,30.07,39,48,343,21.08,26,213,Night,Active,2025-05-02,90.69,20,No,2025-04-12
DC0004,Distribution Center 04,Cross-Dock Center,West,Mumbai,India,MGR0042,P00089,Hazardous,15078,73794,35018,47.45,2,48,80,10.52,12,67,Night,Maintenance,2025-05-03,94.28,30,No,2025-04-30
DC0005,Distribution Center 05,Cold Storage DC,Central,Bhopal,India,MGR0020,P00165,Cold,17939,22187,18904,85.2,33,24,25,15.07,43,93,Morning,Active,2025-05-03,91.05,25,No,2025-04-27
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0062,P00225,Ambient,5372,122778,74722,60.86,51,14,408,15.4,18,370,Night,Maintenance,2025-05-03,73.34,49,No,2025-04-28
DC0008,Distribution Center 08,Fulfillment Center,East,Bhubaneswar,India,MGR0081,P00044,Hazardous,24921,58380,50807,87.03,63,28,156,22.82,42,181,Night,Active,2025-05-03,88.42,39,No,2025-04-12
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0052,P00233,Ambient,3495,51793,48034,92.74,57,28,458,2.48,15,451,Night,Active,2025-05-03,81.15,23,No,2025-04-15
DC0019,Distribution Center 19,Regional DC,West,Surat,India,MGR0036,P00042,Ambient,8381,38496,23871,62.01,28,53,380,16.66,20,187,Evening,Active,2025-05-03,73.68,30,No,2025-04-20
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0030,P00193,Ambient,24686,49180,25964,52.79,77,38,319,8.18,8,415,Morning,Active,2025-05-03,96.03,31,No,2025-04-04
DC0023,Distribution Center 23,Cross-Dock Center,East,Kolkata,India,MGR0071,P00212,Cold,19534,116773,67023,57.4,10,72,197,18.75,43,452,Morning,Temporarily Closed,2025-05-03,78.72,8,No,2025-04-19
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0052,P00002,Ambient,23295,88601,85611,96.63,23,50,152,17.18,22,106,Evening,Maintenance,2025-05-03,98.17,8,No,2025-04-11
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0031,P00161,Ambient,16517,144442,57019,39.48,37,41,11,17.26,7,106,Morning,Active,2025-05-03,88.33,17,No,2025-04-14
DC0029,Distribution Center 29,Cold Storage DC,West,Pune,India,MGR0083,P00198,Ambient,12976,78280,41012,52.39,2,22,384,6.99,49,172,Night,Temporarily Closed,2025-05-03,94.86,2,No,2025-04-15
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0053,P00231,Ambient,10001,141537,102755,72.6,75,70,392,11.75,21,50,Evening,Active,2025-05-03,76.41,43,No,2025-04-19
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0002,P00025,Frozen,17698,91946,41492,45.13,7,94,435,20.9,28,444,Evening,Temporarily Closed,2025-05-04,73.58,19,No,2025-04-26
DC0009,Distribution Center 09,Cold Storage DC,West,Pune,India,MGR0061,P00045,Ambient,7557,148679,37203,25.02,69,41,4,7.36,40,417,Evening,Maintenance,2025-05-04,86.89,10,No,2025-04-29
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0021,P00011,Frozen,7878,144506,55824,38.63,61,61,410,3.41,27,416,Evening,Active,2025-05-04,80.69,14,No,2025-04-30
DC0015,Distribution Center 15,Regional DC,Central,Indore,India,MGR0031,P00219,Frozen,7464,130814,74875,57.24,18,37,35,11.77,11,171,Evening,Maintenance,2025-05-04,84.15,23,No,2025-04-22
DC0017,Distribution Center 17,Fulfillment Center,South,Kochi,India,MGR0003,P00191,Hazardous,6742,100558,25522,25.38,35,85,154,18.11,13,459,Night,Maintenance,2025-05-04,99.53,38,No,2025-05-03
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0051,P00034,Cold,2961,111476,104708,93.93,75,16,200,4.56,31,385,Morning,Active,2025-05-04,87.39,17,No,2025-05-02
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0097,P00224,Ambient,22423,109538,58106,53.05,44,91,259,15.31,20,308,Night,Active,2025-05-04,87.37,12,No,2025-04-04
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0076,P00142,Ambient,11896,114752,63486,55.32,73,78,47,3.77,8,141,Evening,Temporarily Closed,2025-05-04,87.84,49,No,2025-04-26
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0098,P00075,Ambient,23915,139120,91317,65.64,34,86,238,23.16,45,210,Morning,Maintenance,2025-05-04,99.23,43,No,2025-04-15
DC0030,Distribution Center 30,Cold Storage DC,Central,Nagpur,India,MGR0008,P00195,Ambient,7733,72749,46715,64.21,12,20,470,10.82,38,389,Night,Active,2025-05-04,98.01,8,No,2025-04-18
DC0002,Distribution Center 02,Fulfillment Center,South,Chennai,India,MGR0095,P00121,Ambient,10236,85128,62157,73.02,60,73,192,15.27,44,36,Evening,Maintenance,2025-05-05,79.19,28,No,2025-04-25
DC0003,Distribution Center 03,Fulfillment Center,East,Kolkata,India,MGR0031,P00140,Ambient,11839,50568,19683,38.92,65,99,419,12.13,44,338,Night,Active,2025-05-05,76.28,8,No,2025-04-17
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0040,P00215,Ambient,20915,31722,30367,95.73,18,2,266,6.62,12,96,Evening,Active,2025-05-05,88.33,31,No,2025-04-30
DC0029,Distribution Center 29,Fulfillment Center,West,Pune,India,MGR0098,P00102,Cold,24394,69494,47002,67.63,17,80,294,15.51,7,152,Night,Active,2025-05-05,86.16,49,No,2025-04-05
DC0029,Distribution Center 29,Cold Storage DC,West,Pune,India,MGR0029,P00110,Ambient,10124,80746,40209,49.8,57,60,489,17.73,38,315,Morning,Maintenance,2025-05-05,98.32,31,No,2025-04-21
DC0003,Distribution Center 03,Regional DC,East,Kolkata,India,MGR0083,P00053,Ambient,6208,26486,21858,82.53,36,80,267,5.23,37,458,Night,Maintenance,2025-05-06,77.16,0,No,2025-05-01
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0033,P00028,Ambient,19572,78596,74984,95.4,73,73,449,22.86,23,424,Morning,Active,2025-05-06,86.01,11,No,2025-04-21
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0098,P00036,Ambient,18852,149963,126659,84.46,14,86,41,6.78,10,391,Morning,Active,2025-05-06,95.79,33,No,2025-04-28
DC0008,Distribution Center 08,Cross-Dock Center,East,Bhubaneswar,India,MGR0042,P00099,Cold,15199,108920,30676,28.16,64,24,93,15.77,8,395,Morning,Temporarily Closed,2025-05-06,84.72,47,No,2025-05-05
DC0019,Distribution Center 19,Regional DC,West,Surat,India,MGR0072,P00132,Hazardous,19535,96475,43444,45.03,34,41,481,14.57,9,32,Evening,Active,2025-05-06,97.87,48,No,2025-04-06
DC0023,Distribution Center 23,Regional DC,East,Kolkata,India,MGR0050,P00180,Ambient,20112,100790,83157,82.51,75,55,476,7.96,19,435,Morning,Active,2025-05-06,81.29,39,No,2025-04-22
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0035,P00029,Ambient,5847,115913,42091,36.31,9,16,487,11.21,33,312,Morning,Maintenance,2025-05-07,95.3,14,No,2025-04-27
DC0005,Distribution Center 05,Fulfillment Center,Central,Bhopal,India,MGR0027,P00035,Ambient,5309,25316,21730,85.84,14,49,486,22.12,24,276,Night,Maintenance,2025-05-07,92.16,12,No,2025-04-27
DC0005,Distribution Center 05,Fulfillment Center,Central,Bhopal,India,MGR0088,P00140,Ambient,13207,32022,16816,52.51,58,89,432,20.03,6,474,Night,Active,2025-05-07,97.73,27,No,2025-04-25
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0072,P00186,Ambient,12403,145828,92199,63.22,36,77,194,20.01,27,61,Night,Active,2025-05-07,91.43,5,No,2025-04-28
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0027,P00083,Ambient,21593,101604,77899,76.67,29,85,356,6.81,45,171,Morning,Maintenance,2025-05-07,78.96,36,No,2025-05-02
DC0016,Distribution Center 16,Cross-Dock Center,North,Lucknow,India,MGR0089,P00088,Ambient,20425,100622,38233,38.0,62,1,205,5.41,29,222,Night,Active,2025-05-07,73.26,0,No,2025-04-10
DC0019,Distribution Center 19,Fulfillment Center,West,Surat,India,MGR0091,P00110,Ambient,20696,112802,82729,73.34,69,57,10,7.2,28,298,Evening,Maintenance,2025-05-07,94.49,14,No,2025-04-19
DC0021,Distribution Center 21,Cold Storage DC,North,Delhi,India,MGR0076,P00036,Hazardous,11166,41466,15265,36.81,63,41,365,10.77,22,172,Morning,Active,2025-05-07,94.55,47,No,2025-04-26
